"Passage","Tag"
"""You must get a proper hunting whip ‚Äî that postilion's affair won't do at all. And get those leathers of your father's tied in behind. The boots do capitally, only don't let them slip down, so as to show your legs ; or else wear stockings."" "" I haven't any, excepting the silk ones for my second dress."" "" Sir Lucius O'Trigger : by-the-bye, you mustn't wear sham whiskers and moustaches ; nobody did in those days. And try to make the character as light and easy as you can. Sheridan was a most accomplished gentleman, and he had an eye to himself in the character.","domestic"
"All you have to rely upon, in addi- tion to what you choose to call ' suspicious cir- VOL. IIL Q cumstances,' is the evidence of this Black, who must clearly be mistaken, as well as her supe- riors."" "" You dared to accuse me of conspiring to carry away this lady/' he resumed, seeing Henry's consternation at the backsliding of Zorah. '*■ Now even you yourself must acknowledge the accusation to be false ; and, if you possess the feelings of a gentleman, you will tender an ample apology."" ""That I shall never do,"" Wilton quietly an- swered. ""The same opinion I still hold.","other"
"She's my wife, and you know what your own feelings were once. But look here,‚Äîwe are in that state at home at this moment, that I must get money somewhere before I go home. I must, indeed. If you'll let me have three pounds this once, I'll never ask you again. I'll give you a written promise if you like, and I'll pledge myself to pay it back by thirty shillings a time out of the two next months' salary. I will, indeed.‚Äù And then Mr. Cradell began to cry.","other"
"In criticising this, and laughing at the story of the travelling limner's unmerciful critics at the farm, he recovered some of his usual calm. On leaving to rejoin the party downstairs, from whom his absence had been too long for courtesy, I bid him send Sir Burleigh up, as I neither could nor would stay now in these distant rooms alone, since he had said 'twas dangerous. Drawing my chair nearer the fire, I spread my hands idly to the glow, thinking. The*small jewel-box open on the table close by, the diamonds were glinting in the firelight. For awhile, thinking of Sergius, I did not note this ; then, with a sudden tremor, recalled why I had taken them off. Kilmarnock never spoke idly. Why should he warn me in vain?","other"
"""You forget that "" '* Ah true ‚Äî well you, Desmond, and Frisker- ton ? what say you ?"" "" Volontiers,^' said Desmond, "" give me a fortnight to correct the last proofs of my novel, and 1 am ready to travel to Kamschatka if you please, variety is my vital principle ; I have neither wife nor children, thanked be heaven I and never mean to have any, if I can help it ‚Äî except those in three volumes, which, instead of requiring attention, are so dutiful as to do something towards assisting their father and his, unfortunately, rather scanty rental."" "" No going to the East for me,"" said Lord Friskerton, ""it is so infernally cockneyfied ! "" ** An excellent objection truly,"" said Mesmer, but you have not read Eothen ‚Äî Oh ! how in my early youth I used to revel in the dreams of the orient ! how I used to long for the lance and rapid steed of a Bedovveen chief!","other"
"Well, Lucy, I will not ask you for your secret, but tell me why you do not think either of the two you have named good enough for me.^ "" They don't look good enough. Mr. Wil- loughby appears vain and trifling, and Mr. Lorimer — I have seen much more of him than the other — is, I am certain, the very last per- son in the world to suit youy Again Gertrude laughed, and enquired what bad qualities Lucy had detected in Mrs. Tem- plets brilliant and accomplished cousin ? But Lucy declared that she had detected none. She believed him to be good-tempered, generous, clever, agreeable, and so forth — but still, in spite of all this, wholly and entirely unsuited to Miss Cameron — the very last per- son in the world, she again repeated, that Gertrude ought to marry. "" Surely,"" said the latter, "" you have thought much more of these things than is usual with young people of your age — you are quite a child in years, Lucy, yet you talk like a very thoughtful woman."" "" I am only thirteen, it is true, but then for the last four years I have been papa's constant companion — and my ill health has also, I dare say, contributed to make me less childish than others of the same age.""","domestic"
"Live upon ! what do you mean ? That depends upon so many things."" "" Suppose, then, I mean — marry upon ? "" "" Oh,"" said she, '' that must be according to the style you live in, and the establishment you mean to keep. But I hope you are not thinking of anything of the sort yet, John ?","domestic"
"It does not appear to me that you are at pre- sent under any absolute necessity of calling Mr. Mortimer out : he did not appear as your pro- secutor or accuser ; and, excuse me for saying so, the case is altogether one without a pre- cedent in the annals of honour. Suppose that you should send him a challenge, and he should decline it, which is very likely ; and then he should send to the newspapers a paragraph, stating that a young man, mentioning your name, was had up to the police-office for break- ing into a pantry, and the charge being dis- missed, the accused person sent a challenge to a gentleman who was present at the examina- tion, and who very properly laughed at the challenger for his chivalric spirit.\ \"" Ay !\"" exclaimed Frederick again, '' now you mention that, I fear that my name will ap- pear in the papers already, in spite of my teeth. Oh ! what a precious fool I have been ! I shall be made a laughing-stock and a by-word.\"" With this unpleasant anticipation, Frederick took leave of his friend, and passed another sleepless night.""","domestic"
"Because the father of your father was not so religious a man as old Simone, the sacristan, and he was by no means as desirous that the marriage should take place as the father of your mother was. Doubtless he would never have suffered it to take place at all, had it not been that his eldest son, your father, was known to be in a dying state at the time. As it was, your father, desirous as his days were drawing to a close, to repair, as far as lay in his power, the wrong he had done to your mother, and your grandfather did together induce him to consent that the ceremony should take place. But at tlie same time lie took care tliat the tMng should be so managed that the only proof of it remained in his hands. And when your father and mother were both dead, old Simone, the father of your mother, found that the other old gentleman, the father of your father, altogether refused to admit or recognise the marriage in any way. And you remained under the care of your grandfather, the sacristan, because your grandfather, the gentleman, would have nothing to say to you, and you con- tinued to be called Nanni Scocco, because the latter denied that you had any right to hear his name."" "" But I had a right, according to what you say.","other"
"Nonsense, Frank: what had the poor girl to say to his misfortunes ?'' The Major spoke almost harshly, for Grace was his favourite child. Frank, more quick-witted and calculating by nature, was liable at times to perceive and see through the petty foibles of his father in a way which was by no means comfortable or pleasant; while Grace, on the contrary, was too easygoing and indolent to look for anything in him but the indulgent consideration for her every whim which never failed. "" Grace has had everything to do with it, sir. She deluded the poor fellow into falling in love with her, and then sent him off in a pique."" "" Well, I must say you are hard on the girl, Frank. How could she help him or any other fellow falling in love with her ?","other"
"some fellow to whom I spoke last night.* ' I certainly did question you about a tall gentleman, but was not aware of his claims to beauty/ replied I. ^ Well, that is as it may be,' said he ; * the ladies think him handsome, and their opinion upon that score is more valuable than yours or mine. Do you know,' he continued, ' I sometimes feel half sorry that I ever made the fellow's acquaintance : he is quite a marked man here, and they tell stories of him that are anything but reputable, though I am sure without foundation. I think I know enough about him to warrant me in saying so.' * May I ask his name ?' inquired I. * Oh !","other"
"Byronian ‚Äî he is the only man that is read in Town ‚Äî those Lakists that go and make faces at themseh^es on the waveless w^aters, and then run home to put their reflections upon papei* are quite out- voted now ; even the ladies never think of them.\ \"" No, I suppose not,\"" said ]Mr. NeviHe, \"" any more than thoy would think of seeing liay- makers in theii' verandas, or a sheep sheai'ing in their drawing-roo¬´is.. But ' the cliildren of darkness are wiser in their generation than the children of light,' and he who sings of nothing but lawless crimes, and sated vices, does wisely to address his song to the inhabitants of an overgrown and luxurious metropolis.\"" *' Yes, yes; he is sure enough of sympathy, plenty of dancing daffodils there, ‚Äî only of rather an opposite species. What do you say Miss Neville, do you like the titled Bard ?\"" \"" Quite well enough, as a poet, to wish he had made clioice of better subjects.""","other"
"He had not got a penny for two years. He had been obliged entirely to renounce society, and had retired to a garret in the east end, where he lived on bread, salt butter and bloaters. He could not have lived at all upon anything, had it not been that Sydney persistently sought him out, and every now and then pressed a twenty pound note into his hand. The mashers in- spected his threadbare coat with their eye-glasses. \ I'm so awfully glad to see you, old fellow ! \"" said Sydney, linking his arm in his. '' I was wondering, only this morning, what on earth had become of you.""","other"
"— A Prophet ; one bearing a message. which seemed to embarrass him, "" but can you reconcile to your mind leaving your companion in the hour of distress. If so, be gone, I say, the counsels of a coward are hurtful to the brave. Such, ought pot to be the case with you, for how often have you not enjoined me to meet adversity with firmness, and now you shrink! As for myself,"" I continued, "" nothing shall draw my attention from the revenge I am anticipat- ing. It shall, it must be completed, or I am crushed in the attempt. Be it a winning or a losing game, I am indifferent to the result.","other"
"Well, you remember that day, and that you were taken up on suspicion. Greenwood."" ""Aye, sir, I'se never forget it to my dying day."" • "" Did any one believe you had done the deed you were accused of? "" "" I didn't me self, sir ; lors, how could 'un ? "" ""","domestic"
"hed out, which missed Claude, and fell right over Jack, \ Take that,'* said ihe old hag, \""^and [perhaps you will get a little worse, if you don't be jogging while you may.'* *< Come, come, old lady,'* said Claude, \""you have got hold of the wrong cus- tomers to try any threats upon. We have made up our minds to ask you a civil question, and we will not only ask if, but we will have an answer to it likewise, or we will have your cottage dowm about your ears.\"" \"" Confound the old hag,\"" said Jack, \"" the has drenched me.\"" f What's your question, idiot?\"" cried the old woman. \""Ah! now you are talking to yourself, eld girl.""","other"
"No one can explain so well as Mrs. Penguin how the mistake has originated, to her I refer you ; for myself, I will say no more, but I repeat that I am innocent."" "" Mistake ! you young prevaricator ! What mistake could there be in an affair of this sort, except that you mistook the woman you had to deal with ? It was wrong, perhaps, of me to expose you to such a temptation ; but what a fine developement of character has it afforded me ! How has it unmasked the treachery of the pretended friend !","domestic"
"She shall not go."" "" You are not married yet, Cyril,"" said Lilian, laughing. "" My dear boy, why should Marion not go ? "" asked his mother, in surprise. '' She is delighted at the prospect. It is perhaps the only cliance she will have of going abroad for any length of time. Once married, a girl cannot see much of the world, as the admiral says, and a country curate's wife is especially bound to home."" "" And do you suppose, mother, that I shall always be a country curate ? "" asked Cyril, with fire. ""","domestic"
"It's lovers that mean nothing that I object to ‚Äî lovers, indeed ! Lovers of meats and drinks that they get out of the mistress's pantry ! That's the style of lovers we have so many of. If they'd to pay for their galla- vantino^ thev'd think twice about it, I'd warrant them ! \ Kellie lauo-hed outrioht at this, and 'Mhs Brewis even o-ave a thin o'lo-oie. \"" Well, you may laugh, ma'am,\"" she said ; ^' you're young, and certainly, for that matter, I'm not particularly old ; but wait till you keep house yourself. A house looks j^leasant enough, and sounds pleasant enough ; but when one has to pay for everything in it ‚Äî coals to begin with, meat, taxes, lovers ‚Äî lovers in jam ‚Ä¢closets even ‚Äî you'll see !""","domestic"
"It was then that your father found me. Chance brought him to my studio, and there his artist's eye taught him at once the value of my work. He was rich, and he was the leader of a certain art circle in Rome. He took me up, and made me known. Commissions flowed in, and I became pros- perous. He introduced me to the beautiful and wealthy young countess, who consented to share my lot, and become the wife of the once penniless sculptor ; and as her husband, my name was made, my fortune secure. ' But I never forgot that to Philip Debenham I owed all my wealth and happiness ; I am not ungrateful, and I never was tempted to forget that fact.","other"
"Mother, I want to go home to-morrow instead of going to Boyne Gate ; no. Lady St. Just, don't say that I'm tired of you, and don't be angry with me ; I can't be happy until I know why Walter GifFord seems to have foro'otten me."" "" You're not weak enough to waste a thous^ht about a man who even seems to have forgotten you, I hope,"" her mother says, coldly, and the flush deepens on Ethel's brilliant face as she answers: "" Yes, I am ; for I know it's only seeming."" "" Mr. Giflbrd must be unlike any other fellow in the world if he could forget Miss Heatherley,"" Lord Kenmare says, with a gallant effort, ""though I wish, with all my heart, you could forget him,"" he adds, in a low tone, to Ethel. "" Perhaps I wish it, too,"" she murmurs, for the pertinacious young lover who is present does contrast favourably just now with the apparently negligent one who is absent. And on the strength of these words, uttered partly in pique and partly in idleness.","domestic"
"He writes as if he thought so highly of you, and yet he wants you to go all the way to India, and do a great deal of difficult work, and be exposed to great danger. Why should he want you to go 1 You can stay very comfortably at home ; and surely there must be people badly enough off not to mind going so far, and working so hard.\ \"" You have no wish to see me Governor of S V* \""No, not if being Governor obliged you to leave High Combe, and live in India. I should think you very silly if you went there, and very unkind to me.\"" \"" Well, give me the letter back. I have made up my mind to decline the appointment. I am going to London to-day to see Lord Mertown about it.""","domestic"
"A few moments' attentive listening convinced them that the dreaded noise was but the gnawing of a mouse, and with a general hearty laugh at their common fear, and the trivial circumstance that caused such agitation, they soon resumed their places, and forthwith fatigued nature renewed her cravings for repose. Just then the old castle clock had struck its portentous twelve, but yet no ghost appeared, and though not one of the party was sufficiently courageous to suggest that they should retire to their different bedrooms, to enjoy the sleep they so much needed, yet all were unanimous that it would be very foolish indeed, even if possible, to stay awake all night. '‚Ä¢'‚ñ† Let us watch in turns,\ says Fitzgerald, *' one hour each ; one awake to give the alarm, the other two asleep, and let us cast lots to see who must watch the first hour. ** Agreed,\"" said the other two ; and soon the lots prepared and drawn constituted Mortimer 0' Sullivan the first hour's watcher. Whereupon, taking an old book, entitled Marx^ 0' Sullivan^ her Friends and Influence, written in two volumes, from a bracket in the room, he sat down to read.""","other"
"Think, if it will lighten your pain, that at the last I was touched by your goodness, your nobility, and that I regretted ‚Äî that if I could, I would have made you happy. Think of me as the old impulsive Nadine, who knew herself, but who for once did not yield to an impulse which would bring you sorrow ; for we should only bring each other sorrow, of that I am sure in my heart. Though I cling to you, for I cannot bear to let you go, I know that we are best apart. I must go my way; I must fulfil my bent. You remember what I said always ‚Äî ^ My nature is my destiny.^ You in time might become a shackle that I should hate.","domestic"
"Mafier Benfon and Charles at cards. i>ENSON. An ace, you must give me four. Charles. (Counting them reluctantly) One — two— three — four. Oh!","domestic"
"But he really was most kind and obliging and took care of lots of people ; in fact but for him I should have got squeezed to death in the crush. You know there was a sort of cold collation in the studio, not a stand up nor a sitting down breakfast.\ \""What, not a sitting down 1101^ a stand up ? \"" repeated the duke, bewildered. \"" How silly you are, Cas ! I mean every- thing on trays and in odd corners, don't you know ?""","domestic"
"Juliet could not rest. Every sound made her start ; every step in the corridor made her tremble. Hope whispered that, before they set out, Montague would be there ‚Äî would explain all. Yet, how could he explain ? no matter ! love and faith are strong in woman*'s breast, and for a time they upheld Juliet. But shortly disappointment filled her heart with a vague resentment. \"" FullChadwyckBritishParse/2703.csv""","domestic"
"The reason is very plain. Wisdom is a good thing, but it cannot do the work of experience ; the greatest blockhead in the world, if he had been to the moon, could tell more about it than the cleverest astronomer who had only studied it through a telescope. Now, with sentimental young men, unless they are mar- ried early, the state of matrimony is the grand illusion of life, and it colours every- thing. Marry them, and you strike one falsehood out of their minds, and leave them readier for the clear cold liofht of pure thought. You think so, don't you, my child ? ' * I hardly know what to say,' Mercy answered.","domestic"
"Edith,"" she continued, clasping her hands tightly, and dropping her voice, "" only God knows from what horror you have saved me. At first I was so overwhelmed with shame that I thought — I thouglit of ending mj misery, you know — death is a coward's last resource ; you know too how you came and saved me from that last awful guilt."" "" Oh, Dorcas, it could not have been so terrible as that,"" almost whispered the other. "" It was. I felt as if I had lost every- thing worth having. You, standing so high, so faultless, stooped to me, and held out your hand and saved me."" "" Dorcas, you must not think me so faultless. I was not generous enough to forgive you at first.","domestic"
"My humour is satisfied,"" said Rachel ; "" and I forgive him, though I care little for his friendship.""'""' "" Forgive !""'""' said the Rapparee ; "" that should be my part."" "" Now, out upon thee for a gallant ! But where should gallantry be learned in the bogs ?*' "" It has not been wanting there, as English courts of old, and more than English courts, could tell,"" still argued Ulick. "" Then the bogs have degenerated,"" said Rachel. "" They have truly, since the daughters of Erin make a mockery of its sons, and prefer to them the smooth-bearded and the wily Saxon."" Rachel's colour here arose, and her pride fell.","domestic"
"Those contents were a song adapted by her lover to one of the old ballad airs of the country, which Lilly had often sung to her harpsichord (when the young gentleman was not present ‚Äî for she was far too scrupu- lous to flatter his vanity at any time by letting him hear how she honoured it)^and which, as Lilly did think it worth singing, we shall venture to transcribe : ‚Äî THE WANDERER'S RETURN. IVe come unlo m.^ home again and find mj'self alone ‚Äî The friends I left in quiet there are perished all and gone ‚Äî My father's house is tenantless ‚Äî my early loves lie low ! But one remains of all that made my youthful spirit glow ‚Äî My love lies by the blushing West, drest in a robe of green. And pleasant waters sing to her and know her for their queen The wild winds fan her face, that o'er the distant billows come ‚Äî She is my last remaining love ‚Äî my own ‚Äî my island home. II. I know T've not the cunning got to teil the love I feel, And few give timid trutL tLe faitU they yield to seemingzeal.","domestic"
"Nobody is particularly inclined for music, or for whist, or for a round game ; and it usually ends in nothing but talk, and everyone is ready to go pretty early to bed. ' Next morning at breakfast one of the features will be the inevitable nursery letters that somebody or other will be sure to receive. First the child's letter : \ Nurse's duty, and the children are quite well and very happy. Master Charles is riding on a stick, and Miss Molly was so pleased to get dear Mamma's letter, and they both send their love and many kisses to dear Mamma, and Master Charles wishes to know when Mamma is coming home again.\"" This letter of course ends with the inevitable row of kisses ; sometimes expressed by x x x x x , and sometimes by o o o o o o, according to the taste of the young scribbler. Also the inevi- table blot or smear, with \"" Master Charles made that blot,\"" written underneath it. 6""","domestic"
"You have not outgrown St. Paul : "" said Mr. Nicholl. "" I suffer not a woman to speak in the church."" "" Ah, yes,"" Lady Mary exclaimed. "" She is banished also from the assembly of saints."" "" XW religious and philosophical teachers, in- cluding St. Paul,"" said Mr. Pynes in a hard, dog- matic tone, "" are unanimous on this point. It only remains for us to show that this exclusion from all participation in active life and in- tellectual exercise is not derogatory."" ""On the contrary,"" exclaimed Otto Yenning eagerly; "" it is in the highest and divinest degree honourable to womanhood."" "" }.Ir. Yenning, allow me to introduce you to Professor Goldworthy Fynes : "" said Lady ^Mary. The two men shook hands warmly, and Mr. Yenning turned to speak to Mrs. Brownlow. ""","other"
"or when he roasted it ? or when he peel'd, or when he brought it home ? or when he digested ? or when he ? For 'tis plain. Sir, if the first picking up of the apple, made it not his ‚Äî that no subsequent act could. Brother Didius, Trihonlus will answer ‚Äî ( now Trihonius the civilian and church lawyer's beard being three inches and a half and three eighths longer than Didius his beard ‚Äî I'm glad he takes up the cudgels for me, so I give myself no farther trouble about the answer).","other"
"But I am better, thank God ! and Chambers will pull me through, if man can do it. Meanwhile, let me do my business, as I said, while my mind is clear. I shall be the easier and get on the better.\ \"" Yes, sir, all right. I will attend as w^ell as I can.\"" Mr. Dashwood was the possessor of various family secrets.""","domestic"
"In the midst of these calamities,"" he continued, "" not unknown to Mr. Strick- land, he quitted England, and continued in France on liis own private business for two years, leaving me to struggle on as well as I could with difficulties almost insurmount- able. Having thus exposed all the neces- sities of the house, I solemnly declare that all the monies temporarily raised by me were applied, not in anyone instance for any sej)arate purposes or expenses of my own, but in every case they were immediately placed to the credit of the house in Fen- church-street, and applied to the payment of the pressing demands upon it. This fact does not rest on my own assertion, as the transactions referred to are entered on the books now in possession of the assig- nees, and to which I have had no access since my apprehension. These books, I understand, are now in Court, and will confirm the truth of my statement ; and to whatever account all the sums may be entered, whether to that of stock, of exchequer bills, or to my private account, the whole went to the general funds of the banking-house. I have been, I know, accused of extravagance in the pubHc prints. I take heaven to mtness, that in my private expenses I have strictly kept to the proceeds of the Elsmere property. All my friends know how I Hved.","other"
"He seems a fine specimen of a real Irish gentleman ; and she is still a very handsome woman."" ""A ruined horse-dealer, now principal partner in Macer's gambling-house; and a broken-down actress, Avho married him under false pretences. My dear fellow, what a nest of sharpers you have got amongst ! Now tell me honestly, had you any play, or did they keep you in ignorance of their practices, so as not to land their fish before he was thorouo;hlv O -J gorged ?"" "" Why, we played, certainly. I had a turn at ecarte with the Count."" "" And he won of you ‚Äî ?"" ""","domestic"
"Your arm should have been lifted against the general or me, not your amiable, unof- fending, aiid, I must say, angelic niece."" If Lord Shirley had wished to revenge Catherin e's wrongs to the utmost, he could not have succeeded better than by giving such praises to the being towards whonx she '' Well, this I was not prepared for,"" she at length faintly articulated. ''I thought, at least, I had a friend in you, my lord/' "" And so you have, madam,"" replied Lord Shirley, a little moved by her di- stress ; "" and so you shall find me, if you vill let me know how I can serve yotu Else why did I instantly obey your sum- mons?"" *^ True — very true,'' sighed Mrs. Bayn- ton, "" This, then, my lord, is my bu- siness with you.","domestic"
"No, sir ‚Äî I am afraid not,\ answered Sidney, rather eagerly; \""it is absolutely necessary that I should return to London directly.\"" \"" Aye,\"" replied Dr. Summers, \"" it has been very dull for you here, no doubt- town is preferable, even though you may live in a garret. But hold,\"" he added, a moment afterwards, as he saw Sidney about to leave the apartment, \"" I have something to ask you ; the other night, when you were at Mrs. Oliver's, 1 was sent for by a Mr. Cummins, of Brook Cottage, whom it seems you have been attending during the last month‚Äî do you know any- thing of him ? ‚Äî he is a stranger to this place, is he not 1\"" \"" I behove so,\"" returned Sidney, \"" at least, I gathered as much from his conver- sation. He and his daughter are the guests and relations of old Mrs. Henrich, who is the present tenant of the cottage.\"" '^ Humph !\"" said Dr. Summers, in a dis- satisfied tone, \"" no more than that ? and he has as many whims as a Crcesus might have.'^ \""""","domestic"
"You don't speak, Beresford. What are you thinking of ? "" ""I am thinking of Aunt Dumbarton,"" replied Mr. Conway. "" She is a subject for reflection."" "" She is a subject for bad language, I think,"" retorted Eva. "" It will be quite a happy family gathering. Cousin Fanny, I congratulate you."" "" It is hard, is it not ? "" asked Mrs. Wilding patlietically.","domestic"
"lie will break every bono in your body if you attempt that,"" retorted Lord reuchurch. "" I never saw any one that could match him in strength and extraordinary activity. No, no, let me meet him, and assure me the first shot, he will never require another."" The Colonel thought for a moment, and then observed ‚Äî *^ Perhaps you are right ; but do you know who is to be his second :"" '^ I never bestowed a thought on that sub- ject,"" answered his lordship ; ** some city apprentice, 1 suppose."" **","other"
"Because, amongst other things, certain lies have been put in circulation about Mr. Bethune, and I wished to know where they arose. Now I am beginning to guess."" For an instant Mr. Courtnay Fox seemed some- what disconcerted ; but he betrayed no anger. "" Come, come,"" said he, with an affectation of good humour, "" that is a strong word. Morris heard no lies from me, I can assure you. Why, don't we all of us know who and what old George Bethune is ! He may flourish and vapour successfully enough elsewhere ; but he doesn't impose on Fleet- street; we know him too well.","other"
"* Eeally, my dear Edward, you ought to begin to think of some definite course,' said the father ' It may be too late for a profession, but the Govern- ment offices ' 'Eed tape and drudgery, with a salary that would scarcely aff'ord dry bread and a garret,' inter- rupted Edward contemptuously. ' Xo, my dear father, as a poet I will stand or fall.' ' I'm sorry to hear it,' sighed the Vicar, ' for at present it looks like falling.' What Edward really meant was that he would depend upon his father until the public and the critics, or the critics and the public, could be brought to acknowledge him as one of the new lights in the starry world of imagination. Mr. Clare under- stood this, and felt that it was rather hard upon him as a man of limited means. Edward arrived at Hazlehurst only the night before Mrs. Treverton's dinner-party. '","domestic"
"Might life not yet be made to expiate the recollection of this accursed stain which seas would not wash out ? Could happi- ness be possible again ? Would Kathleen ever look upon him, except to loathe and hate his very sight ? ""Ah ! Kathleen, Kathleen, my poor, poor wife,'^ he cried out in his agony, ""why didn't I heed your darlin' voice when you bid me not go from you that time ?","other"
"Our best may be very bad,"" laughed Erskine ; ""if so, you must show us how to better it. Tiny."" ''I should get Tin}^ to teach you how to treat a lord, dear,"" said Euth, wlio saw nothing to laugh at, and seemed likely to lend her husband a severer support than the occasion needed. "" Say Lord Manister ! "" suggested Erskine. "" Will you show me on him ? "" "" I may if you're good — you wait and see,"" said Tiny lightly. And lightly the matter was allowed to drop.","domestic"
"This time it was none other than a Lady of Quality ‚Äî a Grande Dame de par le monde. She came in splendid attire, sailing into the studio like some richly-adorned pinnace or royal yacht. A lady of a certain age, but still comely in the eyes of man. ' Lady Frances ! ' cried Alec. ' This is, indeed, unexpected. And ^^ou know that it is the greatest honour for me to wait upon you.' ' Yes, yes ; I know that.","domestic"
