,Passage,Tag,Unnamed: 2,not_trash,trash
10,""" she cried. "" Think of your apologising to me / I had had a bad night, and was cross and sleepy, I suppose; but 1 am wide awake now, so tell me what has happened, for I am dying to know."" "" Sir Wilfred is actually going — if indeed he has not already gone — to see the Inspector of Police at Broad- mere about what he calls the robbery ! What do you think of that?"" "" Why, that he could not do a safer thing for us. They will, of course, find out nothing, and it will' end by their declaring that it is w^hat they call a ' house affair,' which means that the burglary has been done by discharged servants, who must, of course, be well acquainted with the house, and with the habits of the inmates."" "" But,",not_trash,,0.6751209,0.32487905
11,"said Tito, softly, half enjoying the comedy, as he saw the pretty childish seriousness on her face, half prompted by hazy previsions which belonged to the intoxication of despair. He felt her vibrating before she looked up at him and said, timidly, “Will you let me?” He answered only by a smile, and by leading her forward in front of the cerretano, who, seeing an excellent jest in Tessa's evident delusion, assumed a surpassing sacerdotal solemnity, and went through the mimic ceremony with a liberal expenditure of lingua furbesca or thieves' Latin. But some symptoms of a new movement in the crowd urged him to bring it to a speedy conclusion and dismiss them with hands outstretched in a benedictory attitude over their kneeling figures. Tito, disposed always to cultivate goodwill, though it might be the least select, put a piece of four grossi into his hand as he moved away, and was thanked by a look which, the conjuror felt sure, conveyed a perfect understanding of the whole affair. But Tito himself was very far from that understanding, and did not, in fact, know whether, the next moment, he should tell Tessa of the joke and laugh at her for a little goose, or whether he should let her delusion last, and see what would come of it— see what she would say and do next. “Then you will not go away from me again,” said Tessa, after they had walked a few steps, “and you will take me to where you live.”",not_trash,,0.67934096,0.32065907
12,"By Florence Dawson. 2 -vols. Sylvan Holt's Daughter. By Holme Lee, Author of "" Kathie Brande,"" &c. 3 vols. My Lady : a Tale of Modern Life. 2 vols. ""There is force and a good deal of fresh- j ""It will be read with great interest and ness in ' My Lady.'",trash,,0.54146683,0.45853323
13,"This sudden revelation of Derval's supposed perfidy could not give her now the pain it might have done in time past; his conduct had partly prepared her for some such catastrophe as this; and yet how antagonistic— how unlike his open, gentle, candid, and earnest outward character, did this accumulation of secret perfidy seem ! And that tawdily dressed damsel had declared herself his wife 1 His wife I She recalled the time when that word, as a term of endearment to herself, had fallen so sweetly on her startled ear; then a bitter, 12 * bitter sense of having been insulted and degraded, was added to her still more keen 5ense of utter disappointment in Derval ; and to her guileless and innocent mind, no doubt, no thought of suspicion that she might be deluded, ever occurred. *^ You have had an unexpected visitor. Miss Hampton ? '' said Eookleigh, eyeing her pale face keenly next day. '<Yes."" *^Ah — so have I, one who has explained aU."" **A11?*'",not_trash,,0.58997643,0.41002357
14,"A greater induration of the marble heart, an increase of the self-willedness and pride of the bold Diana ; and an encouragement of the sickly sensibility glossing over the love of self in the softer Matilda, and hiding her passion for the show and trappings of the world, had been the fruits of her tuition. Friendship could not exist between beings so heartless and their adieus, out- wardly warm, had no more of reality in their protestations, than the will-o'-the- wisp has of heat. Miss Woolaston went, and her name was no more mentioned, than if she had never been associated with the family. F 2 CHAPTEE YIIT. "" But absent, what fantastic woes aroused, Rage in each thought by restless musing fed."" Thompson. Lord Kidwelly, wishing to make him- self popular, gave several dinners at Bon- ham Park to which the Yaughans, Mr. Parry and a few other inhabitants of the village were invited.",not_trash,,0.7300315,0.2699685
15,"Enfin , ils se sont tous ruinée , et un M. Stanlej a acheté le bien. Si je ne me trorape, il était le premier mari de Ladj Claran- court et il lui a laissé le Manoir , mais seulement en usufruit. Cette ferme doit revenir à quelqu'un qui CHAPITRE VIII. E Con Stable ne fut pas plutôt parti qu'Idamia sortit de sa re- traite. Son époux la félicita , en l'embrassant , de n'avoir plus rien à craindre pour madame Dupré qui aurait bien mérité de souffrir davantage de son infâme conduite, ^ Ah ! mon cher Tancrède ^",trash,,0.5715207,0.4284793
16,FALSE STEPS 1 64 XIII. WANT OF MONEY 179 XIV. IN THE GLOAMING 1 97 CHATTER PAGE XV. CONQUERED 2 13 XVI. ON THE SEA 23O XVII. THROUGH THE MIST 247 XVIII. NIGHT 263 XIX.,trash,,0.15496372,0.8450362
17,"Mrs. Hartley had gone out — and he had by a stratagem suc- ceeded in having Millicent sent for to speak to some person on business in another part of the house. Then he stole like a stealthy serpent into the blind man's room. For a moment Arthur Egerton stood appalled at the sight he saw — he remem- bered so well the pride, and the beauty, and the strength of that deformed repulsive- looking being. Yet, with that wreck of humanity before him, telling of what elements this life's treasures are composed, he went on, preparing to devote, and, per- haps unawares to sacrifice altogether, his deathless soul for the attainment of an earthly good. Remembering he had no time to lose, he went up and took Aylmer by the hand. He asked him if he recollected him, and inquired, with much apparent kindness, respecting the state of his health. "" Arthur Egerton, is ifc not V exclaimed Aylmer. "" I recognised your voice ; I have been wishing much that some of Juliet's family should visit us; I am very glad you are come."" Arthur was delighted to hear him in his very sentence introduce the subject on which he wished to speak.",not_trash,,0.73160183,0.26839814
18,"A ROSE IN JUNE. PHOEBE^ JUNIOR. WORKS BY GEORGE MAC DONALD, LL.D. * Each in One Volume, elegantly printed, hound, and illustrated, price 5b'. DAVID ELGINBROD. I ALEC FORBES OF ROBERT FALCONER.",trash,,0.63484913,0.36515087
19,"He listened politely to Gri sell's introduction of Master Ridley, exchanged silent greetings with Vrow Clemence, and in- sisted on their coming into the chamber within, where a repast of cold pasty, marchpane, straw- berries, and wine awaited them — to be eaten while as yet there was nothing to see save the expectant multitudes. Moreover, he wanted to show Mistress Grisell, as one of the few who cared for it, the manuscripts he had collected on the history of Troy town, and likewise the strange machine on which he was experimenting for multiplying copies of the translation he had in hand, with blocks for the woodcuts which Grisell could not in conscience say would be as beautiful as the ^oro-eous illumma- tions of his books. Acclamations summoned them to the front, of course at first to see only scattered bodies of the persons on the way to meet the bride at the gate of St. Croix. By and by, however, came the ' gang,' as Ridley called it, in earnest. Every body of ecclesiastics was there : monks and friars, black, white, and grey; nuns, black, white, and blue ; the clergy in their richest robes, with costly crucifixes of gold, silver, and ivory held aloft, and reliquaries of the most exquisite workmanship, sparkling with precious jewels, diamond, ruby, emerald, and sapphire flash- ing in the sun ; the fifty-two guilds in gowns, each headed bv their Master and their banner, gor- geous in tint, but with homely devices, such as stockings, saw and compasses, weavers' shuttles, and the like. Master Lambert looked up and nodded a smile from beneath a banner with Apollo and the Python, which Ridley might be excused for taking for St. Michael and the Dragon. The Mayor in scarlet, white fur and with gold collar, surrounded by his burgomasters in almost equally radiant garments, marched on.",not_trash,,0.66958386,0.33041614
20,"Transmigration. From Midnight to Mid night. A Fight with Fortune. By Wlt-M-IE COI.I.INS, Sweet and Twenty. The Village Comedy. You Play me False. Blacksmith and Scholar Frances.",trash,,0.46803793,0.5319621
21,"Lucy spoke with such enthusiasm — quite in rap- tures of her and her sister."" *' W^ell,"" repeated Captain Craveufield, ""it is a most extraordinary piece of news, and I can hardly believe it now. Moreton in love ! Moreton cauglit at last ! "" and he laughed heartily. '' It is a capital thing for us, little wife, to have such neighbours."" "" How far is Kemberton from Foxhoe ? "" "" About eleven miles ; but now I must write my letter of condolence and congratu- lation.",not_trash,,0.63958985,0.3604102
22,"His age appear- ed to be from twenty-eight to thirty, though though it might not be so mucli ; but the seriousness of his deportment took from him the light semblance of youth, v/ith- out leaving any rigid formahty, or un- social reserve in his character. This gentleman, whose name was Ferdinand Sylvester, became a candidate for the Baronet's protection, through the medi- um of an old friend of Sir Thomas's, who resided a few miles from Princely Hall, a Mr. Millbank, whose niece was likewise an intimate, and the only one, of Miss O'Cahaghan, Mr. Miilbank having been abroad for some years on the Continent, had there met with Mr. Sylvester, and conceived for him a very warm affection. This young man, whose father was an English officer, but reported to have been killed in an engagement in Germany du- ring the infancy of his son, found him- self, at the age of twenty, an orphan in very straitened circumstances, as the trifling support of his mother, and some little dependence she had of her family (who (wlio lived in a distant country) died with her, aijd his spirit not permitting"" him to be an inactive dependant, he turn- ed his talents and ed titration to the pri- 'vate instruction of a few youths In this, capacity Mr. Millbank had seen him,. when, from many iater views, having, as before said, entertained an affection for him, h.e invited him over to Ireland, to superintend the education of his nephew,, who was then at a public school. His oifers were liberal, and many other cir- cumstances rendering the removal of Mr. Sylvester a desirable event to himself, he accepted the friendly invitation, and came with the old gentleijian to the land of Hibernia. His niece Emily, v/ho, with • liis nephew Edward, were the orphan children of Mr. Millbank's younger bro- ther, he had been left guardian to, and trustee of their very handsome foxtune,-.",not_trash,,0.64696103,0.35303897
23,"Dread died. Others might have changed, but their change was but a secondary matter, so long as this heart— this tender mother's heart which now beat on his — was still his own. '' Christophe, come home !"" She raised herself from his breast, took his hand in hers, and led him from the grave-yard, down the hollow lane, and under its o'er-arching trees, neither speaking- a single word. She could not ; he would not, lest news of change should trouble his great content. Yet, as they drew nearer to the old gray farmstead, under whose thatch he had been reared, the questions he had not cared to put in that first draught of perfect joy, began to rise and trouble his soul with vague fore- bodings. His foster-father, how would Jic receive him — the beg- gar's brat come back again ?",not_trash,,0.6675492,0.33245084
24,"As the proofs against De Blenau were, of course, very defective, the last command of Richelieu to Lafemas, before leaving Lyons, was to spare no power of intimidation, in order to make the pri- soner criminate himself, before even granting him the form of a trial. In pursuance of these direc- tions, Lafemas ceased not for some days to tor- ment De Blenau >vith continual interrogatories, mingled with menaces and irritation, ingeniously calculated either to frighten his victim into some confession of guilt, or to throw him off his guard by rousing his anger. More than once he was carried into the chamber of the Question, and once was even bound to the rack. But though, in the secret halls of the Bastille, Lafemas would not have scrupled to proceed to any act of cruelty, yet at Lyons, amidst people upon whose silence he could not rely, he dared not put the prisoner to the question, without some appearance of legal authority. At length, therefore, the day for his trial was fixed ; but yet Lafemas prepared to make him previously undergo a species of refined torture, which none but a demon' could have devised. Denied all the privileges usually conceded to prisoners, unacquainted with the precise charges to be brought against him, refused all legal assistance, and debarred the use of pen and ink, De Blenau clearly saw that Richelieu had resolved on his destruction, and merely grant- ed him the form of a trial to gloss over his tyranny, in the eyes of the people; never- theless, he prepared to defend himself as far as possible, and at all events to establish his inno- cence ; for the honour of his good name, though it might not even tend to save him from the in- justice with which he was threatened. For this purpose he accurately examined his conduct since his liberation from the Bastille, and noted care- fully every circumstance, that he might be en- abled to prove the nature of all his occupations so correctly, that the impossibility of his joining in any conspiracy would be made evident.",not_trash,,0.6722551,0.3277449
25,"With the aid of a ship's punkah he, Ronald, and the Weasel kept them pretty free from heat and yet more fiery lano-uage. "" Ah, Charlie, I wish sometimes that we might be left here always. I quite dread going back into the world."" "" Don't say that ! You know how glad my mother will be to see you, and when we are once more at Amat you will get rid of these morbid fancies which cling to you too much."" Amy shakes her head most sadly, and her eyes are filled with blinding tears as she says, "" When one is happiest one fears the most. It is only the miserable who can enjoy the luxury of hope."" """,not_trash,,0.7161958,0.2838042
26,"6d. DOOM! An Atlantic Episode. Crown Svo, picture cover, Is. DOLLY: A Sketch. Crown Svo, picture cover, Is.; cloth limp, Is. 6d.",trash,,0.45393747,0.5460625
27,"The stars are aye the same. The world does not much change, Margaret, hooever much we poor mortals may change."" But the deep calm seemed to move Mar- garet more than even the steady orbs of the sky. ""It is beautiful,"" she said, as she clung to Martha. "" But hoo quate it is ! Nae ruffle o' a wing, nae breath even is heard. The stars twinkle, but they give nae soun'.",not_trash,,0.7112341,0.2887659
28,"or for neither ? We leave the reader to decide. FROM LADY EMMA DUNRAYNE TO MISS LYLE. "" Paris. "" My dear Florence, "" An inexorable diplomatist allows me but half an hour to inform you that I and my friends arrived in Paris three days since ; the hollow murmurs among the gloomy pines and the rushing noise of the mighty cataracts of Switzerland still sounding in my ears, and mingling strangely with the meaner and less exciting sounds of a Parisian crowd. My eye is weary with its gazing on Parisian wonders, as a child's with a kaleidoscope. Dunrayne has departed again — flown none know whither ; some think to Belgium, some to Germany, and some to England.",not_trash,,0.77915895,0.22084102
29,"""Oh! it will so much,"" sighed May, sinking back. Judith left the room for writing materials, and when she returned Mabel dictated a letter to Mina, stating the difficult position she was in, and begging for her advice. She could safely trust Judith with the knowledge of every thing, and she felt that Mina's opinion would be of great value. Not that she would resolve to abide by it, whatever it might be, but it would greatly influence her decision. Judith had a most unusual and irksome task before her, but she made no complaint. Mabel could not help smiling, as she watched the large, unwieldy hand, laboriously tracing the strange cha- racters, every letter of which was of a different size and shape.",not_trash,,0.5134244,0.4865756
30,"If we ever meet again, you must finish your commission ; or I blot from the earth the dishonoured name of Ripperda!"" Louis was still on his knee, when his father hastily ad- vanced to the curtain, and called aloud. A mute appeared ; and the Basha, with an instant recovery of composed dig- nity, commanded him to see that Moor, (pointing to Louis,) to the outside of the camp, towards the hill, and leave him there. Ripperda quitted the apartment, as he spoke ; and, with desolation in his heart, Louis rose, and followed his con- ductor. CHAPTER XXIII. The Moorish slave passed, without obstacle, to the rear of the camp ; and, making his mute salam to his equally silent charge, quitted him in a recess between the hills. Louis found his way back to the Spanish lines by keeping close to the sea-coast ; and, throwing off his disguise, pro- ceeded close under the wall of Ceuta, till he arrived at the drawbridge.",not_trash,,0.55618066,0.44381937
31,"Oh, my dear friend, such an adventure I have met with this morning, that I shall be able to think of nothing else at least for this fortnight. Oh, the fascinat- ing youth ! But not to keep you longer in suspense, know then. Papa, who, 1 verily believe, if left to himself, would perform all the duties of life on horseback, determined that I should mount Swiftsure this morning instead of my barouche. We had not qome far down the avenue which brinies us to Beaumont, when the report of a gun occa- sioned my horse to plunge and rear prodi- giously, gbusly. A few minutes before, Papa had stopt to speak to some farming man, and the groom remained with him ; so that they might have as well been in London for any assistance they could render me. While I remained then in this terrible predicament, a young man darted from the wood, as it were by a stroke of magic, and in an instant was by my side, conjuring me to throw myself into his arms.",not_trash,,0.6928615,0.3071385
32,"' and she waved kisses to the dead man smil- ingly with the tears blinding her eyes — ' Good- night, my brother ! I will return soon, and bring thee news — yea, I will bring thee pleas- ing new s of Caiaphas, . . . good-night ! . . . sleep well ! ' And still waving fond and fantastic salutations, she moved backward lightly on tip-toe step by step, her gaze fixed to the last on the now composed and beauteous face of the corpse, — then passing under the great portico, she noiselessly unfastened the gate, and wandered out in all her distracted and dishevelled beauty, into the silent streets of the city alone. XXXI ^ I ^HE full Sabbath morning broke in unclouded -*■ loveliness, and all the people of Jerusalem flocked to the gorgeous Temple on Mount Moriah to see and to be seen, and to render their formal thanks to the Most High Jehovah for their escape from all the threatening horrors of the previous day. Some there were who added to their prayers the uncon- scious blasphemy of asking God to pardon them for having allowed the * Nazarene ' to live even so long as He had done, seeing that His doctrines were entirely opposed to the spirit and the faith of the nation.",not_trash,,0.6718075,0.32819247
33,"The prayers recited or rather chaunted during the ceremony, are, being in- terpreted, of great beauty ; and the ever-re- curring and sonorous "" Ghospodi Pomilui V or ""Lord have mercy upon us,'' of the Papas, seemed to me highly appropriate to the lips of the four unhappy victims labouring under the ridiculous paraphernalia of their nuptial crowns. By the way, had any doubt really existed as to the palm of beauty to be accorded between the two blooming brides, no one could con- test the superior dignity of the bridegroom of fifty over the one of half his age. Poor Elvin- ston, deeply affected by the vows he was then pledging to a stranger in a land of strangers, was more than usual ungainly and unpleasing of aspect; while it must be owned that Sergius Gallitzin gained wonderfully by having a prominent part to play ; and in his uniform, glittering with foreign and national orders, looked to perfection the imperial favourite and dignified Ambassador. I could see that Ida felt proud of him. If she already affected something of the Juno, she seemed to have found a Jove to her satisfaction. You have no conception of the influence exercised on this, as on most occasions here, by the Emperor's presence. It is not alone on' his own subjects this magnetic influence is perceptible.",not_trash,,0.73483145,0.26516858
34,"A few secret assurances of preferment and emolument soon secured Flammock in the Pretender's interest, and as the eyes of the rest were directed towards him to learn his opinion before they decided what course, should be adopted, the orator again mounted the platform, and thundered forth a fresh appeal to the people, in stentorian tones that could not fail to be audible even to those who stood on the outskirts of tlie crowd, it mattered little that the tenor of his present speech differed so materially from the last; consistency and popularity do not always move in conjunction. "" Glorious news have reached us/' cried Flammock, waving his hand on high; ""a lineal descendent of the line of York has taken the field to expel the Tudor miser from the throne — we will lend him our aid — he shall compensate your wrongs — there are many here who must recollect that the princes of York have ever been accounted friendly to the commons — under their sway ye shall once more enjoy peace and plenty — we will build for ourselves a right to a monarch's gratitude — those who suc- cour Eichard in the hour of need, will hereafter achieve dignity and honorable credit — let us then throw off the yoke of the tyrant, and cleave henceforth to York."" A loud, hoarse, long-continued shout re- sounded far and wide, as the multitude vociferated success and life to Richard the Fourth. After some further discussion and explanations, mingled with directions on the part of Father Hubert, the rabble rout slowly retired ; some hurried to deposit their wives and children in a place of se- curity, that anxiety for their safety might uot interfere with their own proceedings, while others went to seize arms, wherever they could find them, that they might not join their new leader empty-handed. Long after the crowd had separated, the priest lingered on the spot in deep meditation; his restless ambition and scheming brain were still at work for the cause that had for such a length of time engaged all his energies; the point at which he aimed was neither the overthrow of Henry Tudor nor the elevation of York, but rather the rule of the fair realm of England in his own person, through the weak instrument he proposed to decorate with the ensigns of power. Sanguine as was his character, he could not but feel that the fickle and undis- ciplined multitude, from whom he had just parted, would prove no very valuable aux- iliaries ; their constancy was even less to be relied on than their experience. "" And yet,"" he mused, '•",not_trash,,0.7411071,0.25889292
35,"there was now no time indeed to attempt the improbable success of giving the devoted Fredrico the signal of danger from the other entrances to the library— all, all which their mutual ruthless destiny had left in her power to aim at was still to cautiously pur- sue the light, and when approaching the last fatal door, to strive, by her voice, in the loudest exertions of despair, to announce his impending danger to him; when, if in vengeance the sanguinary spies sacrificed her to their fury, why with her life she should pay her debt of gratitude to Fred- rico — and by it he would fmd, that although she could give him up in compliance to the voice of duty, still she could die to effect his preservation. Full of that heroic courage which the enthusiasm of love inspired, Angelina as- similated her footpaces to the receding of the slowly retreating light, nor once permitted the impetuosity of her feelings to accelerate her progress, even to attain the painful wish she experienced to learn whom she was thus cautiously pursuing ; until near to ^helast descending flight of the staircase, she pressed forward to put her desperate alternative mto execution— when, for the first time, she snatched a glimpse of the bearer of the light, when. Oh! horrible conviction of danger ! she beheld Scaltro, accompanied by another man, almost as pitilessly visaged as himself. END OF VOL. in. a I E) R.ARY OF THE UNIVLRSITY or ILLINOIS 823 C972f OF MONTALB ANO: IN FOUR VOLUMES.",not_trash,,0.66076386,0.33923602
36,"Wilton, who follows the occupation of a gold- plate chaser. Has he not a claim — also wanting a link — to this property ?"" It might have been fancy, but the sound of a whistle appeared to issue from the vicinity of a key-hole in the door of the ante -chamber overlooking the park. '^ Wilton ! Wilton !"" exclaimed Mr. Grahame, assum- ing an air of reflection, to hide his embarrassment. *^ Wilton ! no, oh no ! I know nothing of any such claim."" """,not_trash,,0.6893828,0.31061718
37,"After all Mr, Bohun would of course prove to be some uninterest- ing person he had once encountered at the top of a mountain, or perhaps the passing hero of some Anglo-Italian coterie. And yet some- thing whispered that nowhere could Mr. Bohun be a very insignificant person ; Helen had noticed his manners as remarkable — remark- able manners and his high station — surely, he must have been everywhere of sufficient im- portance to be remembered. Though George Gainsborough was very vain, he was no fool. and he could not but consider Mr. Bohun's recollection of him however flattering, a little puzzling. But whether fear or hope predomi- nated, there was one thing very certain — his coming — and just at this moment, was most unlucky. After he had stayed away all his life-time, that he just should take it into his head to return now, was infinitely pro- voking. Six months later, and George Gains- borough flattered himself it would have been of no consequence : but as yet he could not feel secure of Helen.",not_trash,,0.73421407,0.26578593
