Provenance,ID,Passage,OriginalTag,Explanation,Assignment,Title,Author,Date,Filename,TruthTag,KeyPhrase,Explanation,Tagger1,Reviewer,ReviewTag,ReviewExplanation,
1000 Annotations,1003_3467_3473,"Neither do I,\ I admitted, candidly; \""but I suppose the architect will do so.\"" \"" I think I can see how it could be man- aged by means of a gallery,\"" said Mr. Marten, criticising my rough plan ; \"" but as you say, these details are best left to pro- fessional skill.\"" \"" And how many bedrooms do you mean to have?'' asked Ruth. \"" I think of five,\"" I replied. \"" One for the heads of the family, extending over the study, one over the kitchen, two over the parlour, and a little extra chamber above the hall.\"" \"" Then you intend the study and the parlour to be rather large ?\"" remarked Mr. llarten. ''Each about sixteen feet by fifteen,\"" I answered. \"" But I never thought a man with two hundred a year could live in so large a house as this,\"" he said, very briskly. \"" I mean it for an income of two hundred exclusive of house rent,\"" I replied.""",NA,,Sophie,The occupations of a retired life : a novel,Garrett Edward pseud i e Isabella Fyvie afterwards Mayo,1868,1003.txt,domestic,"*' Mr. Marten must dine with us to- 
day,"" I observed presently ; "" for to-morrow 
I must give my instructions for the plan 
of this house, and I want some hints."" 


""You must be a better judge tban me,'* 
be said ; "" but I shall be very bappy to dine 
with you nevertheless."" 


And so we adjourned to our own house, 
and when we had discussed a pheasant and 
a custard, and the cloth was removed, Ruth 
placed before us pens, ink, and paper, and 
then took up her knitting in a way that said 
she expected us to set about our business 
immediately. ",They are eating at their house (inviting the guest to dine with them).,Sophie,Alex,DOMESTIC,"See Explanation. ""And so we adjourned to our own house, 
and when we had discussed a pheasant and 
a custard, and the cloth was removed, Ruth 
placed before us pens, ink, and paper, and 
then took up her knitting in a way that said 
she expected us to set about our business 
immediately.""",
"Unfiltered Annotation, Round 16",0525_3744_3750,"""You must get a proper hunting whip ‚Äö√Ñ√Æ that postilion's affair won't do at all. And get those leathers of your father's tied in behind. The boots do capitally, only don't let them slip down, so as to show your legs ; or else wear stockings."" "" I haven't any, excepting the silk ones for my second dress."" "" Sir Lucius O'Trigger : by-the-bye, you mustn't wear sham whiskers and moustaches ; nobody did in those days. And try to make the character as light and easy as you can. Sheridan was a most accomplished gentleman, and he had an eye to himself in the character.",IDK,,Sophie,Crumbs from a sportsman's table,"Clarke, Charles",1865,525.txt,domestic,"Any one who has been connected with private 
theatricals in a private house, will see that the 
mere performance of the play is the very least of 
the business. ",Theater rehearsals that seem to be at someone¥s house.,Sophie,Alex,DOMESTIC,"Yes, confirmed. Below: ""The domestic 
troubles were of another kind. First, having 
ordered the play and invited the company, it 
was an unpleasant announcement, that scarcely 
anybody could act, and nobody except her hus- 
band knew a word of his part. Mrs. Smith was 
the sort of woman to suffer from esprit de corps, 
and had no idea of her guests being made fools 
of She meant the thing to be a success, and 
though she could not command it, she tried to 
deserve it. Her first difficulty was about room. 
She had overcome that partially by her determi- 
nation. Her next was about the materials of 
war. "" How many knives have we, Jane ? "" 
""Four dozen and a-hal£"" That clearly was not 
enough. We must have six dozen more from 
Bringport : which being nearer London, but 
just out of convenient distance, enjoys a per- 
fect monopoly in all small matters : knives are, 
to hire for the night, only nine-pence a dozen ; 
and rout seats threepence a foot. Now the foot 
is scarcely the part by which one measures sit- 
ting space now-a-days ; so Mrs, Smith very pro- 


perly abandoned any such fallacious test, and 
borrowed her seats from her neighbours. """,
Round 2 Annotations,3079_8298_8304,"All you have to rely upon, in addi- tion to what you choose to call ' suspicious cir- VOL. IIL Q cumstances,' is the evidence of this Black, who must clearly be mistaken, as well as her supe- riors."" "" You dared to accuse me of conspiring to carry away this lady/' he resumed, seeing Henry's consternation at the backsliding of Zorah. '*‚ñ† Now even you yourself must acknowledge the accusation to be false ; and, if you possess the feelings of a gentleman, you will tender an ample apology."" ""That I shall never do,"" Wilton quietly an- swered. ""The same opinion I still hold.",IDK,"dialogue, could be domestic; in novel: ""As they came near, the form of St. Bertrand 
 could be distinguished, leading on his troop, 
 and as he reached the tent where the group 
 waited to receive him, he gallantly approached 
 to offer his congratulations‚Äú ‚Äî> non-domestic",Svenja,The child of the desert,"Vereker, Charles Smyth",1878,3079.txt,Other,"As they came near, the form of St. Bertrand 
  could be distinguished, leading on his troop, 
  and as he reached the tent where the group 
  waited to receive him, he gallantly approached 
  to offer his congratulations",non-domestic,Svenja,Alex,OTHER,See explanation. Very non-domestic.,
1000 Annotations,2915_3103_3109,"She's my wife, and you know what your own feelings were once. But look here,‚Äö√Ñ√Æwe are in that state at home at this moment, that I must get money somewhere before I go home. I must, indeed. If you'll let me have three pounds this once, I'll never ask you again. I'll give you a written promise if you like, and I'll pledge myself to pay it back by thirty shillings a time out of the two next months' salary. I will, indeed.‚Äö√Ñ√π And then Mr. Cradell began to cry.",NA,"non-domestic, In novel: ""then made his way back to his own part of the office‚Äú",Svenja,The Last Chronicle of Barset. By Anthony Trollope. With Thirty-two Illustrations by George H. Thomas. In Two Volumes,"Trollope, Anthony",1867,2915.txt,Other,had just formed of returning home,home,Svenja,Alex,OTHER,"At an office. ""Lady Julia always directed her letters for her young friend to his

office, and there he received the one now given to the reader. When

he had read it he made a memorandum as to the commissions, and

then threw himself back in his arm-chair to think over the tidings

communicated to him."" ",
1000 Annotations,0280_13973_13979,"In criticising this, and laughing at the story of the travelling limner's unmerciful critics at the farm, he recovered some of his usual calm. On leaving to rejoin the party downstairs, from whom his absence had been too long for courtesy, I bid him send Sir Burleigh up, as I neither could nor would stay now in these distant rooms alone, since he had said 'twas dangerous. Drawing my chair nearer the fire, I spread my hands idly to the glow, thinking. The*small jewel-box open on the table close by, the diamonds were glinting in the firelight. For awhile, thinking of Sergius, I did not note this ; then, with a sudden tremor, recalled why I had taken them off. Kilmarnock never spoke idly. Why should he warn me in vain?",NA,"In novel: ""and not safe, to 
 leave you in these remote rooms alone‚Äú; ‚Äûat the conclusion of dinner, 
 we all rose together, and I made my courtesy‚Äú; ‚Äî> non-domestic; maybe an Inn or a camp?",Svenja,A statesman's love,"Boucher, Emile",1886,280.txt,Other,"and not safe, to 
  leave you in these remote rooms alone",maybe a castle of someone,Svenja,Alex,OTHER ,Discussed in last meeting. Very weird but we found the details far away in the text. Not a permanent domicile.,
"Unfiltered Annotation, Round 20",2093_2323_2329,"""You forget that "" '* Ah true ‚Äö√Ñ√Æ well you, Desmond, and Frisker- ton ? what say you ?"" "" Volontiers,^' said Desmond, "" give me a fortnight to correct the last proofs of my novel, and 1 am ready to travel to Kamschatka if you please, variety is my vital principle ; I have neither wife nor children, thanked be heaven I and never mean to have any, if I can help it ‚Äö√Ñ√Æ except those in three volumes, which, instead of requiring attention, are so dutiful as to do something towards assisting their father and his, unfortunately, rather scanty rental."" "" No going to the East for me,"" said Lord Friskerton, ""it is so infernally cockneyfied ! "" ** An excellent objection truly,"" said Mesmer, but you have not read Eothen ‚Äö√Ñ√Æ Oh ! how in my early youth I used to revel in the dreams of the orient ! how I used to long for the lance and rapid steed of a Bedovveen chief!",IDK,"In novel: ""we reached the bright hotel‚Äú",Svenja,"The impostor, or, Born without a conscience",North William d 1854,1847,2093.txt,other,we reached the bright hotel,hotel,Svenja,Alex,OTHER,See explanation. No change of scene.,
Round 2 Annotations,0710_1215_1221,"Well, Lucy, I will not ask you for your secret, but tell me why you do not think either of the two you have named good enough for me.^ "" They don't look good enough. Mr. Wil- loughby appears vain and trifling, and Mr. Lorimer ‚Äî I have seen much more of him than the other ‚Äî is, I am certain, the very last per- son in the world to suit youy Again Gertrude laughed, and enquired what bad qualities Lucy had detected in Mrs. Tem- plets brilliant and accomplished cousin ? But Lucy declared that she had detected none. She believed him to be good-tempered, generous, clever, agreeable, and so forth ‚Äî but still, in spite of all this, wholly and entirely unsuited to Miss Cameron ‚Äî the very last per- son in the world, she again repeated, that Gertrude ought to marry. "" Surely,"" said the latter, "" you have thought much more of these things than is usual with young people of your age ‚Äî you are quite a child in years, Lucy, yet you talk like a very thoughtful woman."" "" I am only thirteen, it is true, but then for the last four years I have been papa's constant companion ‚Äî and my ill health has also, I dare say, contributed to make me less childish than others of the same age.""",IDK,"dialogue, could be domestic",Alex,Gertrude Cameron : a novel,Daniel Mrs Robert Mackenzie,1853,710.txt,DOMESTIC,"Lucy Melville remained silent for many minutes after their hostess had left them. She was evidently deep in thought, though her  eyes were directed somewhat curiously towards that part of the room in which the dancers and the loungers were assembled.",Dance hosted at a house,Alex,Jessica,Domestic,"I scrolled up all the way to the top of the chapter, and I agree that the line Alex gave is the best for determining the space. ",
Round 2 Annotations,1386_5260_5266,"Live upon ! what do you mean ? That depends upon so many things."" "" Suppose, then, I mean ‚Äî marry upon ? "" "" Oh,"" said she, '' that must be according to the style you live in, and the establishment you mean to keep. But I hope you are not thinking of anything of the sort yet, John ?",IDK,"dialogue, could be domestic",Alex,Roydenhurst : a novel,Hope Hester,1878,1386.txt,DOMESTIC,"The young people were all delighted, and for some days nothing was talked of but the coming event — of a county ball. Above this, Mrs. Hartleigh ""reading a letter one morning at breakfast"". So it seems the dialogue is with the Hartleighs at their house.","Somewhat underspecified, without a clear setting. The key phrase is the last narrative cue.",Alex,Jessica,Domestic,Agreed from scrolling all the way to the beginning of the scene that the lines Alex marked are the best ones for calling this a domestic space. ,
1000 Annotations,2533_3605_3611,"It does not appear to me that you are at pre- sent under any absolute necessity of calling Mr. Mortimer out : he did not appear as your pro- secutor or accuser ; and, excuse me for saying so, the case is altogether one without a pre- cedent in the annals of honour. Suppose that you should send him a challenge, and he should decline it, which is very likely ; and then he should send to the newspapers a paragraph, stating that a young man, mentioning your name, was had up to the police-office for break- ing into a pantry, and the charge being dis- missed, the accused person sent a challenge to a gentleman who was present at the examina- tion, and who very properly laughed at the challenger for his chivalric spirit.\ \"" Ay !\"" exclaimed Frederick again, '' now you mention that, I fear that my name will ap- pear in the papers already, in spite of my teeth. Oh ! what a precious fool I have been ! I shall be made a laughing-stock and a by-word.\"" With this unpleasant anticipation, Frederick took leave of his friend, and passed another sleepless night.""",NA,,Alex,Tales of a briefless barrister,"Scargill, William Pitt",1829,2533.txt,DOMESTIC,"Before the day was quite gone, he sought again his friend Captain Hartley, and to him he gave a full, true, and particular account of all that had taken place in the course of the day, and to him he acknow- ledged, that he had at last begun to think that he had acted very unwisely.","Difficult one. No explicit context, but I presume they are talking at the Captain's ""apart- ment"". See far above: ""] The Captain's apart- ment was not like the usual apartments of half- pay officers, or of single gentlemen "" And below: ""With this unpleasant anticipation, Frederick took leave of his friend, and passed another  sleepless night.""",Alex,Jessica,Domestic,"Hard to say -- there are almost no descriptions at all of the space in which a character visits his friend, and it's sandwiched between a walk past a theater and a return home. I'm assuming the lack of description and the unexplained association between this friend and whatever space the scene takes place in means it's domestic. ",
"Unfiltered Annotation, Round 11",2940_3556_3562,"Because the father of your father was not so religious a man as old Simone, the sacristan, and he was by no means as desirous that the marriage should take place as the father of your mother was. Doubtless he would never have suffered it to take place at all, had it not been that his eldest son, your father, was known to be in a dying state at the time. As it was, your father, desirous as his days were drawing to a close, to repair, as far as lay in his power, the wrong he had done to your mother, and your grandfather did together induce him to consent that the ceremony should take place. But at tlie same time lie took care tliat the tMng should be so managed that the only proof of it remained in his hands. And when your father and mother were both dead, old Simone, the father of your mother, found that the other old gentleman, the father of your father, altogether refused to admit or recognise the marriage in any way. And you remained under the care of your grandfather, the sacristan, because your grandfather, the gentleman, would have nothing to say to you, and you con- tinued to be called Nanni Scocco, because the latter denied that you had any right to hear his name."" "" But I had a right, according to what you say.",IDK,,Alex,Leonora Casaloni : a novel,"Trollope, Thomas Adolphus",1868,2940.txt,OTHER,"Howeyer, here is a trattoriciy which will serve our turn as well as another. The * Immaculate Conception ! ' A very good sign. I won't answer for it that the epithet will apply to the table-cloth, but the food will not be poisoned.","Tricky, as it seems domestic at first, but ultimately not domestic and not ambiguous. Signor Scocco runs into a stranger at a café, and they then have a meal at a trattoria together followed by a long conversation (the Signor learns he is illegitimate from the stranger, who turns out to be a lawyer who knew his grandfather).",Alex,Jessica,Other,"You‚Äôve got to scroll way up, but yes, it‚Äôs definitely a trattoria. ",
"Unfiltered Annotation, Round 28",1906_6170_6176,"Nonsense, Frank: what had the poor girl to say to his misfortunes ?'' The Major spoke almost harshly, for Grace was his favourite child. Frank, more quick-witted and calculating by nature, was liable at times to perceive and see through the petty foibles of his father in a way which was by no means comfortable or pleasant; while Grace, on the contrary, was too easygoing and indolent to look for anything in him but the indulgent consideration for her every whim which never failed. "" Grace has had everything to do with it, sir. She deluded the poor fellow into falling in love with her, and then sent him off in a pique."" "" Well, I must say you are hard on the girl, Frank. How could she help him or any other fellow falling in love with her ?",IDK,,Alex,"Legends of the Jacobite wars : Katharine Fairfax, Isma O'Neil",Maunsell Thomasine,1873,1906.txt,OTHER,"It was the third of October, and many of the Irish officers were assembled at dinner in the tent of the Duke of Wirtem- burg.","Conversation at mess in a tent. ""They had risen from the table"" shortly before this but are still standing with the other officers in the tent.",Alex,Jessica,Other,I figured it out using the exact same line.,
Round 2 Annotations,1641_729_735,"some fellow to whom I spoke last night.* ' I certainly did question you about a tall gentleman, but was not aware of his claims to beauty/ replied I. ^ Well, that is as it may be,' said he ; * the ladies think him handsome, and their opinion upon that score is more valuable than yours or mine. Do you know,' he continued, ' I sometimes feel half sorry that I ever made the fellow's acquaintance : he is quite a marked man here, and they tell stories of him that are anything but reputable, though I am sure without foundation. I think I know enough about him to warrant me in saying so.' * May I ask his name ?' inquired I. * Oh !",IDK,"here, spatial, dialogue",Mark,The Purcell papers,"Le Fanu, Joseph Sheridan",1880,1641.txt,other,"I had ridden down towards the castle for the purpose of visiting the O'Connors, and had nearly reached the avenue leading to the mansion, w^hen I met my friend. He was also mounted ; and having anwered my inquiries respecting his mother, he easily persuaded me to accompany him in his ramble.",Mounted on horseback riding between residences,Mark,Jessica,Other,"The line I used: ‚ÄúI had ridden down towards the castle for the purpose of visiting the O‚ÄôConnors, and had nearly reached the avenue leading to the mansion, w^hen I met my friend.‚Äù",
1000 Annotations,2802_297_303,"Byronian ‚Äö√Ñ√Æ he is the only man that is read in Town ‚Äö√Ñ√Æ those Lakists that go and make faces at themseh^es on the waveless w^aters, and then run home to put their reflections upon papei* are quite out- voted now ; even the ladies never think of them.\ \"" No, I suppose not,\"" said ]Mr. NeviHe, \"" any more than thoy would think of seeing liay- makers in theii' verandas, or a sheep sheai'ing in their drawing-roo¬¨¬¥is.. But ' the cliildren of darkness are wiser in their generation than the children of light,' and he who sings of nothing but lawless crimes, and sated vices, does wisely to address his song to the inhabitants of an overgrown and luxurious metropolis.\"" *' Yes, yes; he is sure enough of sympathy, plenty of dancing daffodils there, ‚Äö√Ñ√Æ only of rather an opposite species. What do you say Miss Neville, do you like the titled Bard ?\"" \"" Quite well enough, as a poet, to wish he had made clioice of better subjects.""",NA,,Mark,Chances and changes : a domestic story,"Strutt, Elizabeth",1836,2802.txt,other,"Away they went to the brook, and found Mr. Neville standing there, looking at the daffodils with all the delight of the poet whose words were on his lips.",conversation taking place outside near a brook (talking about daffodils and WW),Mark,Jessica,Other,The line I used: ‚ÄúAway they went to the brook‚Ä¶‚Äù,
1000 Annotations,0943_653_659,"He had not got a penny for two years. He had been obliged entirely to renounce society, and had retired to a garret in the east end, where he lived on bread, salt butter and bloaters. He could not have lived at all upon anything, had it not been that Sydney persistently sought him out, and every now and then pressed a twenty pound note into his hand. The mashers in- spected his threadbare coat with their eye-glasses. \ I'm so awfully glad to see you, old fellow ! \"" said Sydney, linking his arm in his. '' I was wondering, only this morning, what on earth had become of you.""",NA,,Mark,The silver whistle; a novel,Fitzgerald Geraldine Penrose,1890,943.txt,other,"At a certain fashionable ckib [club], it sometimes happened that a row of a dozen mashers stood in the windows.",In the Jockey's Club at a racetrack. Although the characters walk away towards stables,Mark,Jessica,Other,"Agreed that it‚Äôs probably a club. There‚Äôs this line: ‚ÄúAt a certain fashionable ckib,‚Äù (OCR was bad)",
"Unfiltered Annotation, Round 5",0472_4929_4935,"Hast thou come from the deep M 5 waters to stare at me with those glaring eye- balls, from which death has dashed the light?"" He shuddered. Our hero, for it was he, roused by this sudden enunciation of his name, started from his sleep and seeing the \^ Tecker before him, exclaimed : "" Am I then in the murderer's clutch ? ‚Äö√Ñ√Æ I knew thee. Burrows, on the rock when the lightning passed over thy swarthy lineaments, and thy hatchet w^as raised, which afterwards fell upon my head with such hearty good- will.^' """,IDK,,Mark,The fellow commoner,Caunter John Hobert 1794 1851,1836,472.txt,other,"The rescued mariners were severally housed by the generous peasants, two of them remaining at the smuggler's hut.","Wounded and sick mariners housed by peasants in a ""smuggler's hut"" while they recover",Mark,Jessica,Domestic?,"‚ÄúThe rescuers were severally housed by the generous peasants, two of them re-maining at the smuggler‚Äôs hut.‚Äù ‚Äî I‚Äôm assuming the mariners‚Äô rescuers live here, so wouldn‚Äôt it be a domestic space? It‚Äôs also once described as a cottage. ",
"Unfiltered Annotation, Round 27",0816_3934_3940,"Do you know, Joyce, you have always been ready to condemn, to misjudge me,"" says he in a low, hurt tone. "" I have often noticed it, yet have failed to understand why it is. I was right, you see, when I told myself last night and this morning that you were harbouring unkindly thoughts towards me. You have not been open with me, you have been wilfully secretive, and, believe me, that is a mistake. Candour, complete and perfect, is the only great virtue that will steer one clear through all the shoals and rocks of life. Be honest, aboveboard, and I can assure you, you will never regret it. You accused me just now of insincerity. Have you been sincere ? """,IDK,,Mark,April's lady : a novel,Duchess,1891,816.txt,other,"Tea, the all-powerful, is now holding high revelry in the library at the Court. Round the cosy tables, growing genial beneath the steam of the many old Queen Anne "" pots,"" the guests are sitting singly or in groups as fancy dictateth.","Tea in the court - appears to be a house, but with many guests (and pots) it seems more public than private",Mark,Jessica,Domestic,"It feels like a domestic space, just perhaps a really large one with a lot of guests? The frequent references to the same group of children playing alongside the adults having this discussion make me think the space is less public. ",
